Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Monash,(-35.418302; 149.094018),40545,0.019,0.002,0.005,0.019,0.24,14.6,,22.9,,3,16,2,7,28,46,,46,40575,0
Monash,(-35.418302; 149.094018),40545.04167,0.005,0.012,0.007,0.016,0.25,9.6,,22.7,,3,4,12,8,25,45,,45,40575,0.041666667
Monash,(-35.418302; 149.094018),40545.08333,0.019,0.002,0.005,0.012,0.28,14.5,,22.4,,3,16,2,6,19,45,,45,40575,0.083333333
Monash,(-35.418302; 149.094018),40545.125,0.017,0.001,0.004,0.008,0.3,19.5,,22.6,,3,14,1,5,12,45,,45,40575,0.125
Monash,(-35.418302; 149.094018),40545.16667,0.016,0.001,0.004,0.005,0.32,16.5,,22.5,,4,13,1,5,7,45,,45,40575,0.166666667
Monash,(-35.418302; 149.094018),40545.20833,0.015,0,0.001,0.004,0.29,16.1,,22.7,,3,13,0,1,6,45,,45,40575,0.208333333
Monash,(-35.418302; 149.094018),40545.25,0.013,0,0.001,0.003,0.29,18.2,,22.5,,3,11,0,1,4,45,,45,40575,0.25
Monash,(-35.418302; 149.094018),40545.29167,0.013,0.001,0.001,0.002,0.31,11.1,,17.6,,3,11,1,1,4,35,,35,40575,0.291666667
Monash,(-35.418302; 149.094018),40545.33333,0.015,0.004,0.001,0.003,0.33,16.4,,16.5,,4,13,4,2,4,33,,33,40575,0.333333333
Monash,(-35.418302; 149.094018),40545.375,0.014,0.019,0.006,0.004,0.36,29.6,,17,,4,12,19,8,5,34,,34,40575,0.375
Monash,(-35.418302; 149.094018),40545.41667,0.011,0.04,0.016,0.008,0.34,24.4,,17.2,,4,9,40,20,13,34,,40,40575,0.416666667
Monash,(-35.418302; 149.094018),40545.45833,0.005,0.041,0.026,0.013,0.32,22.6,,17,,4,4,41,33,20,34,,41,40575,0.458333333
Monash,(-35.418302; 149.094018),40545.5,0.001,0.031,0.033,0.017,0.29,20.1,,16.7,,3,1,31,41,26,33,,41,40575,0.5
Monash,(-35.418302; 149.094018),40545.54167,0.001,0.034,0.037,0.021,0.26,11,,16.5,,3,1,34,46,33,33,,46,40575,0.541666667
Monash,(-35.418302; 149.094018),40545.58333,0.001,0.036,0.036,0.026,0.23,15.1,,16.7,,3,1,36,44,40,33,,44,40575,0.583333333
Monash,(-35.418302; 149.094018),40545.625,0.001,0.039,0.035,0.031,0.17,22.2,,17.1,,2,1,39,44,47,34,,44,40575,0.625
Monash,(-35.418302; 149.094018),40545.66667,,,0.037,0.035,0.11,15.5,,17.3,,1,1,39,46,54,35,,46,40575,0.666666667
Monash,(-35.418302; 149.094018),40545.70833,,,0.038,0.037,0.07,16,,17.4,,1,,,48,57,35,,48,40575,0.708333333
Monash,(-35.418302; 149.094018),40545.75,0.001,0.034,0.037,0.036,0.04,16.6,,17.5,,0,1,34,47,56,35,,47,40575,0.75
Monash,(-35.418302; 149.094018),40545.79167,0.001,0.033,0.035,0.035,0.03,14.5,,17.4,,0,1,33,44,54,35,,44,40575,0.791666667
Monash,(-35.418302; 149.094018),40545.83333,0.002,0.031,0.033,0.035,0.03,11.8,,17.4,,0,2,31,41,54,35,,41,40575,0.833333333
Monash,(-35.418302; 149.094018),40545.875,0.011,0.019,0.029,0.033,0.05,19.3,,17.5,,1,9,19,37,51,35,,37,40575,0.875
Monash,(-35.418302; 149.094018),40545.91667,0.023,0.004,0.022,0.028,0.1,22,,17.5,,1,19,4,27,44,35,,35,40575,0.916666667
Monash,(-35.418302; 149.094018),40545.95833,0.017,0.006,0.015,0.024,0.14,31.2,,17.8,,2,14,6,19,36,36,,36,40575,0.958333333
Monash,(-35.418302; 149.094018),40546,0.014,0,0.001,0.007,0.33,11,,12,,4,12,0,1,11,24,,24,40603,0
Monash,(-35.418302; 149.094018),40546.04167,0.01,0.001,0,0.005,0.33,11.4,,12.1,,4,8,1,0,8,24,,24,40603,0.041666667
Monash,(-35.418302; 149.094018),40546.08333,0.011,0.001,0.001,0.003,0.34,14.2,,12.2,,4,9,1,1,5,24,,24,40603,0.083333333
Monash,(-35.418302; 149.094018),40546.125,0.008,0.001,0.001,0.002,0.34,11.6,,12.3,,4,7,1,1,3,25,,25,40603,0.125
Monash,(-35.418302; 149.094018),40546.16667,0.004,0.009,0.003,0.002,0.32,6.7,,12.2,,4,3,9,4,3,24,,24,40603,0.166666667
Monash,(-35.418302; 149.094018),40546.20833,0.001,0.021,0.008,0.004,0.28,3.2,,12.2,,3,1,21,10,6,24,,24,40603,0.208333333
Monash,(-35.418302; 149.094018),40546.25,0.001,0.019,0.013,0.007,0.22,2.5,,11.9,,2,1,19,16,10,24,,24,40603,0.25
Monash,(-35.418302; 149.094018),40546.29167,0.003,0.019,0.017,0.009,0.17,7.7,,9.8,,2,3,19,21,14,20,,21,40603,0.291666667
Monash,(-35.418302; 149.094018),40546.33333,0.003,0.019,0.02,0.011,0.14,2,,8.2,,2,3,19,24,17,16,,24,40603,0.333333333
Monash,(-35.418302; 149.094018),40546.375,0.001,0.018,0.019,0.013,0.12,4,,7.7,,1,1,18,23,21,15,,23,40603,0.375
Monash,(-35.418302; 149.094018),40546.41667,0,0.017,0.018,0.015,0.1,5.3,,7.9,,1,0,17,23,24,16,,23,40603,0.416666667
Monash,(-35.418302; 149.094018),40546.45833,0.001,0.017,0.018,0.017,0.08,7.8,,8.1,,1,1,17,22,27,16,,22,40603,0.458333333
Monash,(-35.418302; 149.094018),40546.5,0.001,0.018,0.018,0.019,0.07,7.3,,8.3,,1,1,18,22,28,17,,22,40603,0.5
Monash,(-35.418302; 149.094018),40546.54167,0.001,0.019,0.018,0.018,0.07,7,,8.5,,1,1,19,22,28,17,,22,40603,0.541666667
Monash,(-35.418302; 149.094018),40546.58333,0.001,0.022,0.019,0.019,0.07,1.3,,8.1,,1,1,22,24,29,16,,24,40603,0.583333333
Monash,(-35.418302; 149.094018),40546.625,0.002,0.024,0.021,0.019,0.07,5.6,,7.7,,1,2,24,26,30,15,,26,40603,0.625
Monash,(-35.418302; 149.094018),40546.66667,,,0.022,0.019,0.06,14.4,,8,,1,,,27,30,16,,27,40603,0.666666667
Monash,(-35.418302; 149.094018),40546.70833,0.001,0.024,0.023,0.02,0.05,6.4,,8,,1,1,24,29,31,16,,29,40603,0.708333333
Monash,(-35.418302; 149.094018),40546.75,0.002,0.024,0.024,0.021,0.05,10.9,,8.4,,1,2,24,30,33,17,,30,40603,0.75
Monash,(-35.418302; 149.094018),40546.79167,0.002,0.021,0.023,0.022,0.04,12.9,,8.4,,0,2,21,29,33,17,,29,40603,0.791666667
Monash,(-35.418302; 149.094018),40546.83333,0.004,0.019,0.022,0.022,0.04,7.7,,8.3,,0,3,19,28,34,17,,28,40603,0.833333333
Monash,(-35.418302; 149.094018),40546.875,0.012,0.009,0.018,0.02,0.06,7.7,,8,,1,10,9,23,31,16,,23,40603,0.875
Monash,(-35.418302; 149.094018),40546.91667,0.009,0.01,0.015,0.019,0.06,7.5,,7.9,,1,8,10,18,29,16,,18,40603,0.916666667
Monash,(-35.418302; 149.094018),40546.95833,0.001,0.015,0.013,0.017,0.05,8.7,,7.7,,1,1,15,17,27,15,,17,40603,0.958333333
Monash,(-35.418302; 149.094018),40547,0,0.018,0.017,0.016,0.07,7.9,,12,,1,0,18,22,25,24,,24,40634,0
Monash,(-35.418302; 149.094018),40547.04167,0.014,0,0.013,0.014,0.12,13.4,,12.2,,1,12,0,17,22,24,,24,40634,0.041666667
Monash,(-35.418302; 149.094018),40547.125,0.001,0.016,0.012,0.015,0.11,11.7,,12.4,,1,1,16,15,22,25,,25,40634,0.125
Monash,(-35.418302; 149.094018),40547.16667,0,0.018,0.012,0.015,0.11,9.4,,12.5,,1,0,18,15,23,25,,25,40634,0.166666667
Monash,(-35.418302; 149.094018),40547.25,0.001,0.013,0.016,0.014,0.09,13.8,,13,,1,1,13,19,22,26,,26,40634,0.25
Monash,(-35.418302; 149.094018),40547.29167,0.002,0.012,0.015,0.013,0.09,10.5,,13,,1,2,12,18,21,26,,26,40634,0.291666667
Monash,(-35.418302; 149.094018),40547.33333,0.008,0.009,0.012,0.012,0.09,8.5,,12.9,,1,7,9,15,19,26,,26,40634,0.333333333
Monash,(-35.418302; 149.094018),40547.375,0.007,0.015,0.012,0.014,0.05,6.7,,12.7,,1,6,15,15,22,25,,25,40634,0.375
Monash,(-35.418302; 149.094018),40547.41667,0.007,0.014,0.013,0.014,0.06,5.6,,12.4,,1,6,14,16,22,25,,25,40634,0.416666667
Monash,(-35.418302; 149.094018),40547.45833,0.006,0.016,0.014,0.014,0.07,12.9,,12.1,,1,5,16,17,22,24,,24,40634,0.458333333
Monash,(-35.418302; 149.094018),40547.5,0.004,0.02,0.016,0.014,0.08,5.5,,11.7,,1,3,20,20,22,23,,23,40634,0.5
Monash,(-35.418302; 149.094018),40547.54167,0.002,0.025,0.019,0.016,0.09,10.3,,11.5,,1,2,25,23,24,23,,25,40634,0.541666667
Monash,(-35.418302; 149.094018),40547.58333,0.001,0.028,0.022,0.017,0.1,13,,11.2,,1,1,28,28,27,22,,28,40634,0.583333333
Monash,(-35.418302; 149.094018),40547.625,0.001,0.029,0.026,0.02,0.11,13.1,,10.9,,1,1,29,32,30,22,,32,40634,0.625
Monash,(-35.418302; 149.094018),40547.66667,0.001,0.031,0.028,0.022,0.1,13.9,,10.6,,1,1,31,35,34,21,,35,40634,0.666666667
Monash,(-35.418302; 149.094018),40547.70833,,,0.029,0.023,0.1,10.1,,10.4,,1,,,37,36,21,,37,40634,0.708333333
Monash,(-35.418302; 149.094018),40547.75,0.002,0.03,0.03,0.026,0.09,17.9,,10.5,,1,2,30,38,39,21,,38,40634,0.75
Monash,(-35.418302; 149.094018),40547.79167,0.003,0.028,0.03,0.027,0.08,13.2,,10.6,,1,3,28,37,42,21,,37,40634,0.791666667
Monash,(-35.418302; 149.094018),40547.83333,0.011,0.017,0.025,0.027,0.09,14.6,,10.9,,1,9,17,31,41,22,,31,40634,0.833333333
Monash,(-35.418302; 149.094018),40547.875,0.024,0.002,0.019,0.024,0.14,15.3,,11.1,,2,20,2,24,36,22,,24,40634,0.875
Monash,(-35.418302; 149.094018),40547.91667,0.023,0.001,0.012,0.02,0.22,20.1,,11.6,,2,19,1,15,30,23,,23,40634,0.916666667
Monash,(-35.418302; 149.094018),40547.95833,0.019,0,0.005,0.016,0.3,21.4,,12.2,,3,16,0,6,24,24,,24,40634,0.958333333
Monash,(-35.418302; 149.094018),40548,0.01,0.001,0.001,0.008,0.28,4.1,,13.2,,3,8,1,1,12,26,,26,40664,0
Monash,(-35.418302; 149.094018),40548.04167,0.004,0.004,0.002,0.005,0.28,6.9,,13.1,,3,3,4,2,8,26,,26,40664,0.041666667
Monash,(-35.418302; 149.094018),40548.08333,0.003,0.005,0.003,0.004,0.28,4.6,,13,,3,3,5,3,6,26,,26,40664,0.083333333
Monash,(-35.418302; 149.094018),40548.125,0.003,0.005,0.004,0.003,0.28,3.5,,13,,3,3,5,5,4,26,,26,40664,0.125
Monash,(-35.418302; 149.094018),40548.16667,0.004,0.003,0.004,0.003,0.26,6.2,,13.1,,3,3,3,5,4,26,,26,40664,0.166666667
Monash,(-35.418302; 149.094018),40548.20833,0.005,0.001,0.004,0.003,0.21,8.5,,13.3,,2,4,1,4,4,27,,27,40664,0.208333333
Monash,(-35.418302; 149.094018),40548.25,0.006,0,0.002,0.003,0.16,4.8,,13.5,,2,5,0,3,4,27,,27,40664,0.25
Monash,(-35.418302; 149.094018),40548.29167,0.006,0,0.001,0.002,0.15,5.1,,13.4,,2,5,0,1,4,27,,27,40664,0.291666667
Monash,(-35.418302; 149.094018),40548.33333,0.007,0.002,0.001,0.003,0.17,-0.5,,12.2,,2,6,2,1,4,24,,24,40664,0.333333333
Monash,(-35.418302; 149.094018),40548.375,0.004,0.007,0.002,0.003,0.18,-2.5,,11.9,,2,3,7,3,4,24,,24,40664,0.375
Monash,(-35.418302; 149.094018),40548.41667,0.002,0.016,0.006,0.004,0.17,6.5,,11.6,,2,2,16,8,7,23,,23,40664,0.416666667
Monash,(-35.418302; 149.094018),40548.45833,0.002,0.02,0.011,0.006,0.17,-0.1,,11.4,,2,2,20,14,9,23,,23,40664,0.458333333
Monash,(-35.418302; 149.094018),40548.5,0.003,0.021,0.016,0.008,0.17,-0.1,,11.3,,2,3,21,20,13,23,,23,40664,0.5
Monash,(-35.418302; 149.094018),40548.54167,0.003,0.024,0.02,0.011,0.17,3.3,,11.2,,2,3,24,25,17,22,,25,40664,0.541666667
Monash,(-35.418302; 149.094018),40548.58333,0.002,0.027,0.023,0.015,0.14,1.9,,10.8,,2,2,27,29,23,22,,29,40664,0.583333333
Monash,(-35.418302; 149.094018),40548.625,0.001,0.027,0.025,0.018,0.1,1.1,,6,,1,1,27,31,28,12,,31,40664,0.625
Monash,(-35.418302; 149.094018),40548.66667,,,0.026,0.02,0.07,5.7,,5.5,,1,,,33,31,11,,33,40664,0.666666667
Monash,(-35.418302; 149.094018),40548.70833,0.006,0.021,0.025,0.022,0.06,6.8,,5.6,,1,5,21,31,34,11,,31,40664,0.708333333
Monash,(-35.418302; 149.094018),40548.75,0.018,0.008,0.019,0.021,0.1,11.3,,5.9,,1,15,8,23,33,12,,23,40664,0.75
Monash,(-35.418302; 149.094018),40548.79167,0.025,0.001,0.01,0.018,0.17,14,,6.3,,2,21,1,13,28,13,,21,40664,0.791666667
Monash,(-35.418302; 149.094018),40548.83333,0.019,0.004,0.009,0.016,0.2,13.1,,6.6,,2,16,4,11,25,13,,16,40664,0.833333333
Monash,(-35.418302; 149.094018),40548.875,0.013,0.009,0.006,0.014,0.22,12.3,,6.4,,2,11,9,7,21,13,,13,40664,0.875
Monash,(-35.418302; 149.094018),40548.91667,0.014,0.004,0.005,0.011,0.24,9.3,,5.7,,3,12,4,6,16,11,,12,40664,0.916666667
Monash,(-35.418302; 149.094018),40548.95833,0.017,0.001,0.005,0.007,0.28,14,,5.8,,3,14,1,6,11,12,,14,40664,0.958333333
Monash,(-35.418302; 149.094018),40549,0.003,0.017,0.018,0.017,0.07,8.7,,8.4,,1,3,17,22,27,17,,22,40695,0
Monash,(-35.418302; 149.094018),40549.04167,0.004,0.016,0.017,0.017,0.08,7.8,,8.4,,1,3,16,22,26,17,,22,40695,0.041666667
Monash,(-35.418302; 149.094018),40549.08333,0.001,0.02,0.018,0.017,0.08,7.7,,8.4,,1,1,20,22,26,17,,22,40695,0.083333333
Monash,(-35.418302; 149.094018),40549.125,0.001,0.02,0.018,0.018,0.06,9.4,,8.7,,1,1,20,23,28,17,,23,40695,0.125
